,date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
51,20180917,Ituri,Mandima,2.0,9.0,2.0,2.0,3.0,1.0,3.0,
51,20180917,Ituri,Tchomia,,,,,,,,
51,20180917,Kinshasa,Kinshasa,,,,,,,,
51,20180917,North-Kivu,Beni,4.0,25.0,3.0,4.0,23.0,19.0,4.0,
51,20180917,North-Kivu,Butembo,2.0,5.0,0.0,0.0,3.0,1.0,1.0,
51,20180917,North-Kivu,Goma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
51,20180917,North-Kivu,Kalunguta,0.0,1.0,0.0,0.0,0.0,0.0,1.0,
51,20180917,North-Kivu,Katwa,,,,,,,,
51,20180917,North-Kivu,Mabalako,21.0,68.0,0.0,0.0,65.0,44.0,27.0,
51,20180917,North-Kivu,Maseraka,0.0,1.0,0.0,0.0,1.0,1.0,0.0,
51,20180917,North-Kivu,Musienene,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
51,20180917,North-Kivu,Oicha,1.0,2.0,0.0,0.0,1.0,0.0,2.0,
51,20180917,all,all,31.0,111.0,5.0,6.0,97.0,66.0,38.0,
52,20180918,Ituri,Bunia,,,,,,,,
52,20180918,Ituri,Komanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0
52,20180918,Ituri,Mambasa,,,,,,,,
52,20180918,Ituri,Mandima,2.0,9.0,1.0,1.0,3.0,1.0,3.0,1542.0
52,20180918,Ituri,Tchomia,,,,,,,,
52,20180918,Kinshasa,Kinshasa,,,,,,,,65.0
52,20180918,North-Kivu,Beni,4.0,25.0,1.0,1.0,23.0,19.0,4.0,3350.0
52,20180918,North-Kivu,Butembo,2.0,5.0,5.0,5.0,3.0,1.0,1.0,754.0
52,20180918,North-Kivu,Goma,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
52,20180918,North-Kivu,Kalunguta,0.0,1.0,0.0,0.0,0.0,0.0,1.0,
52,20180918,North-Kivu,Katwa,,,,,,,,314.0
52,20180918,North-Kivu,Mabalako,21.0,68.0,1.0,1.0,65.0,44.0,27.0,3935.0
52,20180918,North-Kivu,Maseraka,0.0,1.0,0.0,0.0,1.0,1.0,0.0,220.0
52,20180918,North-Kivu,Musienene,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
52,20180918,North-Kivu,Oicha,1.0,2.0,0.0,0.0,1.0,0.0,2.0,121.0
52,20180918,all,all,31.0,111.0,9.0,9.0,97.0,66.0,38.0,10352.0
53,20180919,Ituri,Bunia,,,,,,,,
53,20180919,Ituri,Komanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0
53,20180919,Ituri,Mambasa,,,,,,,,
53,20180919,Ituri,Mandima,2.0,9.0,0.0,0.0,3.0,1.0,3.0,1582.0
53,20180919,Ituri,Tchomia,,,,,,,,
53,20180919,Kinshasa,Kinshasa,,,,,,,,65.0
53,20180919,North-Kivu,Beni,4.0,25.0,2.0,2.0,23.0,19.0,5.0,3409.0
53,20180919,North-Kivu,Butembo,2.0,6.0,2.0,2.0,3.0,1.0,1.0,814.0
53,20180919,North-Kivu,Goma,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
53,20180919,North-Kivu,Kalunguta,0.0,1.0,0.0,0.0,0.0,0.0,1.0,
53,20180919,North-Kivu,Katwa,,,,,,,,373.0
53,20180919,North-Kivu,Mabalako,21.0,68.0,2.0,2.0,65.0,44.0,27.0,3935.0
53,20180919,North-Kivu,Maseraka,0.0,1.0,0.0,0.0,1.0,1.0,0.0,270.0
53,20180919,North-Kivu,Musienene,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
53,20180919,North-Kivu,Oicha,1.0,2.0,0.0,0.0,1.0,0.0,2.0,121.0
53,20180919,all,all,31.0,112.0,7.0,7.0,97.0,66.0,39.0,10663.0
54,20180920,Ituri,Bunia,,,,,,,,
54,20180920,Ituri,Komanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0
54,20180920,Ituri,Mambasa,,,,,,,,
54,20180920,Ituri,Mandima,2.0,9.0,2.0,2.0,3.0,1.0,3.0,1632.0
54,20180920,Ituri,Tchomia,0.0,1.0,0.0,0.0,1.0,1.0,0.0,
54,20180920,Kinshasa,Kinshasa,,,,,,,,65.0
54,20180920,North-Kivu,Beni,4.0,28.0,3.0,3.0,24.0,20.0,5.0,3455.0
54,20180920,North-Kivu,Butembo,2.0,6.0,2.0,2.0,3.0,1.0,1.0,844.0
54,20180920,North-Kivu,Goma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
54,20180920,North-Kivu,Kalunguta,0.0,1.0,0.0,0.0,0.0,0.0,1.0,
54,20180920,North-Kivu,Katwa,,,,,,,,413.0
